Citation,DOI,2.1 Flow Type,2.1.Flow.Type,2.2.Subtype.NEW,2.2.Subtype.OLD,Flag_SubtypeCode,Flag_QualityCheck,Flag_FlowCode,Flag_SubflowSpit,Flag_FlowSplit ,Flag_MissingData
"Scavia, 2002, Estuaries",10.1007/BF02691304,Physical,Physical,nutrient flow,riverine discharge and nutrient loading,,,,,,
"Scavia, 2002, Estuaries",10.1007/BF02691304,Physical,Physical,nutrient flow,ocean current,,,,,,
"Scavia, 2002, Estuaries",10.1007/BF02691304,Physical,Physical,ocean current,riverine discharge and nutrient loading,,,,,,
"Scavia, 2002, Estuaries",10.1007/BF02691304,Physical,Physical,ocean current,ocean current,,,,,,
"Schindler, 2006, Ambio",https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2,Physical,Physical,pollution flow,Hydrological flows,,,,,,
"Schindler, 2006, Ambio",https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2,Physical,Physical,pollution flow,Pollutant flow,,,,,,
"Schindler, 2006, Ambio",https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2,Physical,Physical,Surface water quantity,Hydrological flows,,,,,,
"Schindler, 2006, Ambio",https://doi.org/10.1579/0044-7447(2006)35[160:CEOCWA]2.0.CO;2,Physical,Physical,Surface water quantity,Pollutant flow,,,,,,
"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	",Physical,Physical,nutrient flow,nutrient flow,,,,,,
"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	",Physical,Physical,nutrient flow,river flow,,,,,,
"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	",Physical,Physical,nutrient flow,snow and ice,,,,,,
"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	",Physical,Physical,Glacial melt and discharge,nutrient flow,,,,,,
"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	",Physical,Physical,Glacial melt and discharge,river flow,,,,,,
"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	",Physical,Physical,Glacial melt and discharge,snow and ice,,,,,,
"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	",Physical,Physical,snow melt runoff,nutrient flow,,,,,,
"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	",Physical,Physical,snow melt runoff,river flow,,,,,,
"Shanley, C. S., 2015, Climatic Change","10.1007/s10584-015-1355-9	",Physical,Physical,snow melt runoff,snow and ice,,,,,,
"Sivakumar, B.; 2011; Hydrological Sciences Journal","10.1080/02626667.2011.580747	",Physical,Physical,freshwater quantities in transboundary rivers/watersheds/groundwater aquifers,freshwater quantities in transboundary rivers/watersheds/groundwater aquifers,,,,,,
"Sivakumar, B.; 2011; Hydrological Sciences Journal","10.1080/02626667.2011.580747	",Physical,Sociocultural,freshwater quantities in transboundary rivers/watersheds/groundwater aquifers,transboundary water governance (often international),,,,,,
"Sivakumar, B.; 2011; Hydrological Sciences Journal","10.1080/02626667.2011.580747	",Sociocultural,Physical,transboundary water governance (often international),freshwater quantities in transboundary rivers/watersheds/groundwater aquifers,,,,,,
